second,Volt,Volt.1
-0.00254865,4.876884521,1.793969885
-0.00254365,4.937186029,1.922110592
-0.00253865,4.8241207,1.809045263
-0.00253365,4.8241207,1.688442245
-0.00252865,4.8241207,1.748743754
-0.00252365,4.944723718,1.688442245
-0.00251865,4.8241207,1.620603048
-0.00251365,4.944723718,1.567839228
-0.00250865,4.884422209,1.688442245
-0.00250365,4.937186029,1.688442245
-0.00249865,4.8241207,1.50000003
-0.00249365,4.703517683,1.439698522
-0.00248865,4.8241207,1.50000003
-0.00248365,4.8241207,1.44723621
-0.00247865,4.756281503,1.326633193
-0.00247365,4.8241207,1.432160833
-0.00246865,4.8241207,1.44723621
-0.00246365,4.8241207,1.439698522
-0.00245865,4.8241207,1.44723621
-0.00245365,4.8241207,1.326633193
-0.00244865,4.929648341,1.334170881
-0.00244365,4.944723718,1.206030175
-0.00243865,4.8241207,1.085427158
-0.00243365,4.944723718,1.319095504
-0.00242865,4.8241207,1.138190978
-0.00242365,4.8241207,1.206030175
-0.00241865,4.809045323,1.085427158
-0.00241365,4.944723718,1.085427158
-0.00240865,4.8241207,1.206030175
-0.00240365,4.8241207,1.085427158
-0.00239865,4.876884521,1.01758796
-0.00239365,4.703517683,0.957286451
-0.00238865,4.876884521,0.896984943
-0.00238365,4.8241207,0.96482414
-0.00237865,4.944723718,0.896984943
-0.00237365,4.929648341,0.844221123
-0.00236865,4.8241207,0.96482414
-0.00236365,4.8241207,0.957286451
-0.00235865,4.8241207,0.783919614
-0.00235365,4.8241207,0.949748763
-0.00234865,4.8241207,0.723618105
-0.00234365,4.937186029,0.723618105
-0.00233865,4.763819192,0.603015088
-0.00233365,4.937186029,0.603015088
-0.00232865,4.8241207,0.53517589
-0.00232365,4.944723718,0.489949759
-0.00231865,4.8241207,0.603015088
-0.00231365,4.937186029,0.48241207
-0.00230865,4.944723718,0.603015088
-0.00230365,4.8241207,0.595477399
-0.00229865,4.884422209,0.414572873
-0.00229365,4.8241207,0.474874381
-0.00228865,4.8241207,0.422110561
-0.00228365,4.8241207,0.361809053
-0.00227865,4.884422209,0.361809053
-0.00227365,4.8241207,0.248743724
-0.00226865,4.8241207,0.293969855
-0.00226365,4.8241207,0.361809053
-0.00225865,4.8241207,0.293969855
-0.00225365,4.8241207,0.241206035
-0.00224865,4.944723718,0.241206035
-0.00224365,4.937186029,0.226130658
-0.00223865,4.8241207,0.120603018
-0.00223365,4.8241207,0.120603018
-0.00222865,4.944723718,0.060301509
-0.00222365,4.8241207,0.113065329
-0.00221865,4.944723718,0.060301509
-0.00221365,4.944723718,0.0
-0.00220865,4.876884521,-0.060301509
-0.00220365,4.937186029,-0.113065329
-0.00219865,4.8241207,-0.120603018
-0.00219365,4.944723718,-0.113065329
-0.00218865,4.8241207,-0.173366838
-0.00218365,4.8241207,-0.120603018
-0.00217865,4.763819192,-0.173366838
-0.00217365,4.937186029,-0.241206035
-0.00216865,4.8241207,-0.241206035
-0.00216365,4.937186029,-0.241206035
-0.00215865,4.884422209,-0.180904526
-0.00215365,4.937186029,-0.354271364
-0.00214865,4.884422209,-0.301507544
-0.00214365,4.8241207,-0.241206035
-0.00213865,4.876884521,-0.414572873
-0.00213365,4.8241207,-0.361809053
-0.00212865,4.8241207,-0.489949759
-0.00212365,4.8241207,-0.48241207
-0.00211865,4.944723718,-0.48241207
-0.00211365,4.8241207,-0.595477399
-0.00210865,4.8241207,-0.723618105
-0.00210365,4.8241207,-0.716080416
-0.00209865,4.809045323,-0.48241207
-0.00209365,4.8241207,-0.603015088
